acq_date,fires,frp,scan,brightness,max_t,month_sin,month_cos
1261.0,2004-04-15,19.0,3591.4,33.6,356.7473684210526,27.9,0.8660254037844387,-0.4999999999999998
1262.0,2004-04-16,64.0,9431.7,85.9,357.5734375,28.3,0.8660254037844387,-0.4999999999999998
1263.0,2004-04-17,46.0,4860.6,50.0,365.4760869565218,25.7,0.8660254037844387,-0.4999999999999998
1264.0,2004-04-18,22.0,2847.5,29.1,359.2818181818181,30.1,0.8660254037844387,-0.4999999999999998
1265.0,2004-04-19,54.0,11178.7,98.0,355.287037037037,27.3,0.8660254037844387,-0.4999999999999998
1266.0,2004-04-20,65.0,8515.6,82.8,356.32307692307694,27.3,0.8660254037844387,-0.4999999999999998
1267.0,2004-04-21,72.0,19777.0,135.2,363.4041666666666,28.3,0.8660254037844387,-0.4999999999999998
1268.0,2004-04-22,39.0,6625.400000000001,50.9,361.9358974358975,27.6,0.8660254037844387,-0.4999999999999998
1269.0,2004-04-23,54.0,5601.6,67.1,356.7907407407408,28.1,0.8660254037844387,-0.4999999999999998
1270.0,2004-04-24,21.0,3967.2,38.2,347.5,29.2,0.8660254037844387,-0.4999999999999998
1271.0,2004-04-25,29.0,4241.9,38.8,359.7137931034483,28.8,0.8660254037844387,-0.4999999999999998
1272.0,2004-04-26,33.0,6103.7,50.1,359.1575757575758,26.1,0.8660254037844387,-0.4999999999999998
1273.0,2004-04-27,69.0,9289.0,84.5,359.6608695652173,26.7,0.8660254037844387,-0.4999999999999998
1274.0,2004-04-28,86.0,20105.5,164.5,357.1011627906977,23.7,0.8660254037844387,-0.4999999999999998
1275.0,2004-04-29,50.0,4096.7,60.9,344.81199999999995,21.5,0.8660254037844387,-0.4999999999999998
1276.0,2004-04-30,77.0,8046.7,94.5,358.21688311688314,23.4,0.8660254037844387,-0.4999999999999998
1277.0,2004-05-01,48.0,5415.5,73.7,345.2270833333334,26.2,0.49999999999999994,-0.8660254037844387
1278.0,2004-05-02,69.0,10876.3,87.8,366.2405797101449,26.4,0.49999999999999994,-0.8660254037844387
1279.0,2004-05-03,31.0,5448.9,50.0,354.7096774193548,24.0,0.49999999999999994,-0.8660254037844387
